value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.15,0.4,0.2,0.25,112.23036826280254,3.5465891642706673,7.234128608698113,0.26873151541676604,0.43256814921090386,1.3875656883302445,2788,5661518413.140127
0.4,0.4,-0.0,0.2,108.23602501227253,3.4946045957954013,7.2221830741665975,0.3005866836321597,0.442643391521197,1.499876640991699,2406,5461801250.6136265
0.25,0.4,0.2,0.15,112.17613205309401,3.5458917213790437,7.211937007475196,0.3052548242618326,0.4411764705882353,1.5086992454713006,2550,5658806602.6547
0.15,0.55,0.05,0.25,113.86815388280968,3.567543912845114,7.192161018014325,0.2971882681271152,0.4292803970223325,1.4597684548757859,2821,5743407694.140484
0.1,0.5,0.25,0.15,115.02927018065094,3.5822771550433536,7.185343716503283,0.2926433220150096,0.4259063709961281,1.428338459644093,2841,5801463509.032547
0.25,0.35,0.1,0.3,102.86021422648258,3.4225596582838644,7.168001377532338,0.3522106543725274,0.4431683168316832,1.3776840624422688,2525,5193010711.324129
0.15,0.5,0.15,0.2,113.28728612432045,3.5601353475336195,7.158423989310284,0.28890474986233905,0.4367937853107345,1.4913723681292268,2832,5714364306.2160225
0.05,0.35,0.45,0.15,112.05410520426436,3.5443217032344334,7.150621960453079,0.29676471656909537,0.4331140350877193,1.4790271285894483,2736,5652705260.213218
0.4,0.3,0.2,0.1,114.05314012656433,3.5698979361469982,7.129042233855417,0.46137951635450725,0.4411006018916595,1.4869070644284996,2326,5752657006.328217
0.4,0.3,0.05,0.25,98.04856111618439,3.355892748800021,7.122689109182512,0.3124877067279741,0.450752688172043,1.4334547442449397,2325,4952428055.809219
0.2,0.2,0.3,0.3,99.01159931445602,3.3694093807135026,7.10004877376637,0.3514871681517642,0.45221052631578945,1.3697452405773396,2375,5000579965.722801
0.0,0.55,0.25,0.2,109.26219340487252,3.5080814455589975,7.089495808644261,0.2881971483594457,0.4311632870864461,1.5100163470221384,2811,5513109670.243626
0.35,0.3,0.25,0.1,106.93873594872933,3.477443325417992,7.077396010711318,0.4121218213846231,0.4422174840085288,1.4264224641371244,2345,5396936797.436466
0.2,0.35,0.2,0.25,100.36348670797742,3.3882351945060627,7.0437300468417545,0.3094616427539702,0.4409667194928685,1.3555056732682331,2524,5068174335.39887
0.0,0.55,0.15,0.3,96.64178269149326,3.3359865287768615,7.038938147203865,0.2650247565310448,0.4326216310815541,1.4438794167685014,2857,4882089134.574663
