value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.375,0.2,0.125,0.3,158.20401026163682,4.070758722465244,9.592501879859347,0.2843916392351908,0.4804575786463298,1.6667092208517553,2098,7960200513.081841
0.175,0.425,0.125,0.275,189.2944586091166,4.368831588953416,9.590348807627338,0.20101292201163917,0.4430379746835443,1.4234009749275987,2765,9514722930.45583
0.225,0.375,0.15,0.25,202.3803658873192,4.4843880453282345,9.585723840498003,0.3854685028240972,0.46364769422517654,1.5561459622515923,2407,10169018294.36596
0.225,0.5,0.075,0.2,210.31622423015992,4.552021981553209,9.578962751874318,0.22528518082540247,0.4430003713330858,1.4664573905591707,2693,10565811211.507996
0.2,0.4,0.125,0.275,198.30766600647374,4.448979609968346,9.566918175636257,0.29525527455129713,0.4525304765422977,1.468070110165248,2707,9965383300.323687
0.35,0.2,0.175,0.275,140.03787586583206,3.877804731333721,9.559851080290775,0.22866521413893964,0.5037359900373599,1.6304738493445,1606,7051893793.291603
0.35,0.3,0.1,0.25,196.93438124306596,4.436929321371586,9.553605057146719,0.35363321638126327,0.4609141392567279,1.6819514694320206,2341,9896719062.153297
0.25,0.325,0.175,0.25,168.97175503482504,4.178142604509238,9.544979198359451,0.40223150106187766,0.4801477377654663,1.691298267253562,2166,8498587751.741252
0.325,0.275,0.1,0.3,211.04825230184647,4.558173200795707,9.508509002158288,0.3519913981235591,0.4631444397102684,1.687160240836988,2347,10602412615.092323
0.2,0.375,0.15,0.275,193.6623711617621,4.407987291962115,9.507782663067218,0.2394054181908002,0.4547291835084883,1.4766336208045223,2474,9733118558.088106
0.175,0.45,0.075,0.3,196.1781451268633,4.430269225172704,9.49869825606212,0.23209242364664667,0.4408327246165084,1.3991675616016763,2738,9858907256.343166
0.35,0.275,0.1,0.275,179.01534649631319,4.274211757707001,9.490028988830167,0.40682133048019753,0.4638996973627324,1.6928408422653178,2313,9000767324.815659
0.275,0.4,0.05,0.275,222.50708344793958,4.65263356298911,9.485262633176298,0.2799584956673688,0.45338345864661656,1.4816107217724797,2660,11175354172.396978
0.275,0.275,0.175,0.275,154.85037915489846,4.036308230550644,9.484383244336408,0.2520417658836709,0.4849928537398761,1.657652686157182,2099,7792518957.744923
