tp,sl,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value,trading_cost
0.14,0.1,45.59418424870161,2.527128996202125,7.148733400069975,0.20093698797133389,0.5257181028724115,1.5652231366666058,2994,2329709212.4350805,372733783.50492513
0.18,0.12,51.03771747387199,2.6573533586249187,7.139580258830806,0.2539922440900949,0.5177228786251342,1.66880793558956,2793,2601885873.6935997,343525259.4264003
0.16,0.1,49.27935152583046,2.6163335852879057,7.135177784571407,0.21935297181619123,0.5178997613365155,1.59924370022801,2933,2513967576.291523,367604934.4884747
0.2,0.07,51.74449458011447,2.6735789044678726,7.127076598217918,0.25355275846449554,0.49334698055271237,1.6334358139638878,2931,2637224729.0057235,371239960.4142742
0.25,0.07,51.651115960947934,2.6714436114640066,7.126064990528415,0.24993842044475384,0.49246771879483503,1.7513491519894295,2788,2632555798.0473967,318449382.0326001
0.22,0.07,51.25754499535372,2.6624157388149254,7.120536254663642,0.25207161605085837,0.4921793534932221,1.6947014082514438,2877,2612877249.767686,332011900.0823127
0.12,0.14,44.588806437129094,2.501973489773318,7.119450410779934,0.21936292282798234,0.5467383994620041,1.5649989216073383,2974,2279440321.856455,369106576.9835495
0.19,0.12,51.84635555703249,2.6759052694424694,7.112889321516881,0.26631369074150707,0.5176895306859206,1.690266406483022,2770,2642317777.8516245,336283312.8483749
0.17,0.12,49.267239815271985,2.6160477217467437,7.072779186950399,0.23112482660953615,0.5210321668434076,1.5938835729253436,2829,2513361990.7635994,360784186.3564001
0.14,0.11,44.48048213813837,2.499240947895293,7.056264901879255,0.20093476420469422,0.5297720313031643,1.555956115093201,2939,2274024106.9069185,368946353.5630873
0.1,0.05,38.13269662938635,2.3308272884037047,7.052885819585588,0.21422334086538544,0.5089754211543772,1.481283627075619,3621,1956634831.4693174,449894281.0806877
0.2,0.08,50.34296429870401,2.641258891762787,7.036044938054828,0.25588054306989994,0.5,1.6591554420503762,2868,2567148214.9352007,347150086.9047993
0.25,0.05,49.21552777758625,2.6148266807774196,7.00271344487537,0.2570554818454485,0.4758120248790601,1.7774393151261116,2894,2510776388.8793125,321359287.6706878
0.22,0.08,49.253082165364,2.6157135107774723,6.98010510388535,0.2554624813947782,0.5012442232492001,1.7057177357288853,2813,2512654108.2682,315138605.1718008
0.18,0.09,47.531683245200234,2.574596858981322,6.957339178403754,0.25833034458188253,0.5069013112491373,1.5652009634182593,2898,2426584162.2600117,369045071.7299874
0.17,0.14,47.11901029160222,2.5645947462444756,6.955744427493074,0.23288657512189068,0.5247489239598279,1.6183854104838564,2788,2405950514.580111,332461075.3298876
0.19,0.1,48.795321342865755,2.6048731691547204,6.926868409878643,0.25722293800480506,0.5109308885754584,1.6255279218006162,2836,2489766067.1432877,346626440.22671217
0.22,0.05,47.335857356559984,2.5698577056527587,6.892447172379504,0.2621371973435069,0.4732977303070761,1.7111165940539965,2996,2416792867.827999,331406489.77199996
0.25,0.08,48.3751945225975,2.5948649645663657,6.889233437291126,0.2522536827371401,0.49854227405247814,1.7281116719676632,2744,2468759726.129875,303152855.9701248
